,idaviso,idcaracteristica,count
533,48511856,1000102,3
534,47679035,1000111,4
536,47679035,1000079,4
538,47679035,1000106,4
539,48511856,1000110,3
540,48511856,1000111,3
545,48547598,1000102,4
549,48547598,1000110,4
550,48547626,1000116,4
551,48547598,1000111,4
553,48547598,1000079,4
556,48547626,1000079,4
557,48547626,1000068,4
558,48547626,1000118,4
562,48511789,1000110,3
563,48511789,1000111,3
564,48511789,1000078,3
569,48547505,1000116,4
570,48547505,1000110,4
575,48547505,1000106,4
576,48547505,1000118,4
588,48547563,1000102,4
589,48547563,1000116,4
590,48547563,1000111,4
591,48547563,1000100,4
597,48388853,1000102,3
598,48388853,1000078,3
599,48388853,1000079,3
600,48547345,1000102,6
601,48547345,1000116,6
604,48547345,1000079,6
606,48547345,1000068,6
607,48547345,2000142,6
609,48547345,1000109,6
611,48502155,1000115,3
612,48502155,1000027,3
617,48502155,1000085,3
619,47797198,1000102,9
620,47797198,1000114,9
621,47797198,1000116,9
622,47797198,1000111,9
623,47797198,1000100,9
624,47797198,1000079,9
625,47797198,1000085,9
626,47797198,1000106,9
627,47797198,1000118,9
628,47797538,1000102,6
629,47797538,1000110,6
630,47797538,1000111,6
631,47797538,1000100,6
632,47797538,1000106,6
633,47797538,1000118,6
636,48547562,1000102,5
637,48547562,1000114,5
638,48547562,1000110,5
639,48547562,1000111,5
640,48547562,1000078,5
644,48082639,1000111,1
646,47198083,1000114,2
648,47198083,2000148,2
651,44829655,1000111,2
653,44829655,1000101,2
655,43744885,1000116,2
656,43744885,1000078,2
657,48294847,1000001,1
658,46998009,1000102,7
660,46998009,1000105,7
661,46998009,1000110,7
662,46998009,1000111,7
665,46998009,1000101,7
667,46998009,1000106,7
668,46998009,1000118,7
672,46150953,1000110,2
673,46150953,1000111,2
676,46117300,1000102,3
677,46117300,1000111,3
678,46117300,1000079,3
682,46667924,1000110,1
699,46710543,1000109,1
736,46595273,1000116,2
741,46595273,1000101,2
748,47360246,1000105,2
755,47360246,2000142,2
760,44865741,1000102,2
761,44865741,1000114,2
767,48547360,1000102,3
768,48547360,1000111,3
769,48547360,1000100,3
770,48547261,1000110,4
771,48547261,1000079,4
772,48547261,1000068,4
773,48547261,1000090,4
774,14237193,1000102,1
776,48585630,1000102,3
777,48585630,1000110,3
778,48585630,1000100,3
780,14237929,1000111,1
782,48585917,1000102,3
783,48585917,1000111,3
784,48585917,1000100,3
785,14259989,1000102,9
786,14259989,1000004,9
787,14259989,1000038,9
788,14259989,1000027,9
789,14259989,1000110,9
