,idaviso,dia,visits,impressions,leads
111,13329842,2021-10-19,0.0,2.0,0.0
112,13329842,2021-10-20,0.0,1.0,0.0
113,13329842,2021-10-21,0.0,1.0,0.0
114,13329842,2021-10-22,0.0,1.0,0.0
115,13329842,2021-10-23,0.0,1.0,0.0
116,13329842,2021-10-24,0.0,3.0,0.0
117,13329842,2021-10-25,0.0,2.0,0.0
118,13329842,2021-10-26,0.0,2.0,0.0
119,13329842,2021-10-27,0.0,2.0,0.0
120,13329842,2021-10-28,0.0,4.0,0.0
121,13329842,2021-10-29,0.0,2.0,0.0
122,13329844,2021-09-29,0.0,1.0,0.0
123,13329844,2021-09-30,0.0,1.0,0.0
124,13329844,2021-10-01,0.0,1.0,0.0
125,13329844,2021-10-02,0.0,1.0,0.0
126,13329844,2021-10-06,0.0,2.0,0.0
127,13329844,2021-10-07,0.0,2.0,0.0
128,13329844,2021-10-08,0.0,1.0,0.0
129,13329844,2021-10-09,0.0,3.0,0.0
130,13329844,2021-10-10,0.0,2.0,0.0
131,13329844,2021-10-11,0.0,2.0,0.0
132,13329844,2021-10-12,0.0,2.0,0.0
133,13329844,2021-10-14,0.0,2.0,0.0
134,13329844,2021-10-15,0.0,1.0,0.0
135,13329844,2021-10-16,0.0,2.0,0.0
136,13329844,2021-10-17,0.0,2.0,0.0
137,13329844,2021-10-18,0.0,1.0,0.0
138,13329844,2021-10-19,0.0,1.0,0.0
139,13329844,2021-10-20,0.0,1.0,0.0
140,13329844,2021-10-24,0.0,1.0,0.0
141,13329844,2021-10-27,0.0,3.0,0.0
142,13329844,2021-10-28,0.0,2.0,0.0
143,13329873,2021-10-01,0.0,2.0,0.0
144,13329873,2021-10-02,0.0,1.0,0.0
145,13329873,2021-10-06,0.0,1.0,0.0
146,13329873,2021-10-09,0.0,6.0,0.0
147,13329873,2021-10-12,0.0,4.0,0.0
148,13329873,2021-10-13,0.0,2.0,0.0
149,13329873,2021-10-14,0.0,2.0,0.0
150,13329873,2021-10-15,0.0,2.0,0.0
151,13329873,2021-10-16,0.0,1.0,0.0
152,13329873,2021-10-17,0.0,1.0,0.0
153,13329873,2021-10-18,0.0,1.0,0.0
154,13329873,2021-10-19,0.0,1.0,0.0
155,13329887,2021-10-01,0.0,3.0,0.0
156,13329887,2021-10-06,0.0,2.0,0.0
157,13329887,2021-10-07,0.0,1.0,0.0
158,13329887,2021-10-08,0.0,1.0,0.0
159,13329887,2021-10-09,0.0,1.0,0.0
160,13329887,2021-10-10,0.0,1.0,0.0
161,13329887,2021-10-11,0.0,2.0,0.0
162,13329887,2021-10-12,0.0,2.0,0.0
163,13329887,2021-10-13,0.0,1.0,0.0
164,13329887,2021-10-14,0.0,2.0,0.0
165,13329887,2021-10-15,0.0,1.0,0.0
166,13329887,2021-10-16,0.0,3.0,0.0
167,13329887,2021-10-17,0.0,2.0,0.0
168,13329887,2021-10-18,0.0,1.0,0.0
169,13329887,2021-10-19,0.0,2.0,0.0
170,13329887,2021-10-20,0.0,2.0,0.0
171,13329887,2021-10-22,0.0,1.0,0.0
172,13329887,2021-10-23,0.0,1.0,0.0
173,13329887,2021-10-24,0.0,2.0,0.0
174,13329887,2021-10-25,0.0,2.0,0.0
175,13329887,2021-10-26,0.0,3.0,0.0
176,13329887,2021-10-27,0.0,1.0,0.0
177,13329887,2021-10-28,0.0,5.0,0.0
178,13329887,2021-10-29,0.0,2.0,0.0
179,13383670,2021-10-18,0.0,5.0,0.0
180,13383670,2021-10-19,1.0,21.0,0.0
181,13383670,2021-10-20,1.0,12.0,0.0
182,13383670,2021-10-21,0.0,21.0,0.0
183,13383670,2021-10-22,0.0,2.0,0.0
184,13383670,2021-10-23,0.0,14.0,0.0
185,13383670,2021-10-24,1.0,23.0,0.0
186,13383670,2021-10-25,1.0,19.0,0.0
187,13383670,2021-10-26,0.0,15.0,0.0
188,13383670,2021-10-27,0.0,25.0,0.0
189,13383670,2021-10-28,2.0,34.0,0.0
190,13383670,2021-10-29,1.0,17.0,0.0
191,13383694,2021-09-29,0.0,1.0,0.0
192,13383694,2021-10-01,0.0,1.0,0.0
193,13383694,2021-10-02,0.0,2.0,0.0
194,13383694,2021-10-03,0.0,2.0,0.0
195,13383694,2021-10-04,0.0,6.0,0.0
196,13383694,2021-10-05,0.0,1.0,0.0
197,13383694,2021-10-06,0.0,2.0,0.0
198,13383694,2021-10-07,0.0,4.0,0.0
199,13383694,2021-10-09,0.0,6.0,0.0
200,13383694,2021-10-10,0.0,6.0,0.0
201,13383694,2021-10-11,0.0,2.0,0.0
202,13383694,2021-10-12,0.0,2.0,0.0
203,13383694,2021-10-14,0.0,1.0,0.0
204,13383694,2021-10-15,0.0,3.0,0.0
205,13383694,2021-10-16,0.0,3.0,0.0
206,13383694,2021-10-17,0.0,1.0,0.0
207,13383694,2021-10-18,0.0,9.0,0.0
208,13383694,2021-10-19,0.0,5.0,0.0
209,13383694,2021-10-21,0.0,2.0,0.0
210,13383694,2021-10-23,0.0,1.0,0.0
211,13383694,2021-10-24,0.0,2.0,0.0
212,13383694,2021-10-25,0.0,7.0,0.0
213,13383694,2021-10-26,0.0,2.0,0.0
214,13383694,2021-10-27,0.0,1.0,0.0
215,13383694,2021-10-28,0.0,1.0,0.0
216,13383694,2021-10-29,0.0,1.0,0.0
217,13464594,2021-09-29,0.0,3.0,0.0
218,13464594,2021-10-02,1.0,4.0,0.0
219,13464594,2021-10-03,0.0,2.0,0.0
220,13464594,2021-10-04,0.0,4.0,0.0
221,13464594,2021-10-05,0.0,6.0,0.0
222,13464594,2021-10-06,0.0,10.0,0.0
223,13464594,2021-10-07,0.0,7.0,0.0
224,13464594,2021-10-08,0.0,21.0,0.0
225,13464594,2021-10-09,0.0,19.0,0.0
226,13464594,2021-10-10,0.0,11.0,0.0
227,13464594,2021-10-11,1.0,16.0,0.0
228,13464594,2021-10-12,0.0,21.0,0.0
